image_name,split,frame,vid_location
20210927_BRUVS_NWB_B2_Control_101889.jpg,train,101889,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_101894.jpg,train,101894,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_102356.jpg,train,102356,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_103264.jpg,train,103264,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_103641.jpg,train,103641,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_104718.jpg,train,104718,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_105326.jpg,train,105326,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_105371.jpg,train,105371,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_105809.jpg,valid,105809,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_112946.jpg,train,112946,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_122303.jpg,train,122303,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_124727.jpg,valid,124727,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_126866.jpg,train,126866,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_128673.jpg,train,128673,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_133531.jpg,test,133531,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_139237.jpg,test,139237,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_143846.jpg,test,143846,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_145738.jpg,train,145738,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_148369.jpg,test,148369,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_150795.jpg,train,150795,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
20210927_BRUVS_NWB_B2_Control_151685.jpg,train,151685,../../data/Tassie_BRUV/surrounding_videos/20210927_BRUVS_NWB_B2_Control.mp4
